Date,Public_Health_Unit
2020-01-25,Toronto
2020-01-26,Toronto
2020-01-27,Toronto
2020-01-28,Toronto
2020-01-29,Toronto
2020-01-30,Toronto
2020-01-31,Toronto
2020-02-01,Toronto
2020-02-02,Toronto
2020-02-03,Toronto
2020-02-04,Toronto
2020-02-05,Toronto
2020-02-06,Toronto
2020-02-07,Toronto
2020-02-08,Toronto
2020-02-09,Toronto
2020-02-10,Toronto
2020-02-11,Toronto
2020-02-12,Toronto
2020-02-13,Toronto
2020-02-14,Toronto
2020-02-15,Toronto
2020-02-16,Toronto
2020-02-17,Toronto
2020-02-18,Toronto
2020-02-19,Toronto
2020-02-20,Toronto
2020-02-21,Toronto
2020-02-22,Toronto
2020-02-23,Toronto
2020-02-24,Toronto
2020-02-25,Toronto
2020-02-26,Toronto
2020-02-27,Toronto
2020-02-28,Toronto
2020-02-29,Toronto
2020-03-01,Toronto
2020-03-02,Toronto
2020-03-03,Toronto
2020-03-04,Toronto
2020-03-05,Toronto
2020-03-06,Toronto
2020-03-07,Toronto
2020-03-08,Toronto
2020-03-09,Toronto
2020-03-10,Toronto
2020-03-11,Toronto
2020-03-12,Toronto
2020-03-13,Toronto
2020-03-14,Toronto
2020-03-15,Toronto
2020-03-16,Toronto
2020-03-17,Toronto
2020-03-18,Toronto
2020-03-19,Toronto
2020-03-20,Toronto
TEST,TEST
2020-01-25,Middlesex London
2020-01-26,Middlesex London
2020-01-27,Middlesex London
2020-01-28,Middlesex London
2020-01-29,Middlesex London
2020-01-30,Middlesex London
2020-01-31,Middlesex London
2020-02-01,Middlesex London
2020-02-02,Middlesex London
2020-02-03,Middlesex London
2020-02-04,Middlesex London
2020-02-05,Middlesex London
2020-02-06,Middlesex London
2020-02-07,Middlesex London
2020-02-08,Middlesex London
2020-02-09,Middlesex London
2020-02-10,Middlesex London
2020-02-11,Middlesex London
2020-02-12,Middlesex London
2020-02-13,Middlesex London
2020-02-14,Middlesex London
2020-02-15,Middlesex London
2020-02-16,Middlesex London
2020-02-17,Middlesex London
2020-02-18,Middlesex London
2020-02-19,Middlesex London
2020-02-20,Middlesex London
2020-02-21,Middlesex London
2020-02-22,Middlesex London
2020-02-23,Middlesex London
2020-02-24,Middlesex London
2020-02-25,Middlesex London
2020-02-26,Middlesex London
2020-02-27,Middlesex London
2020-02-28,Middlesex London
2020-02-29,Middlesex London
2020-03-01,Middlesex London
2020-03-02,Middlesex London
2020-03-03,Middlesex London
2020-03-04,Middlesex London
2020-03-05,Middlesex London
2020-03-06,Middlesex London
2020-03-07,Middlesex London
2020-03-08,Middlesex London
2020-03-09,Middlesex London
2020-03-10,Middlesex London
2020-03-11,Middlesex London
2020-03-12,Middlesex London
2020-03-13,Middlesex London
2020-03-14,Middlesex London
2020-03-15,Middlesex London
2020-03-16,Middlesex London
2020-03-17,Middlesex London
2020-03-18,Middlesex London
2020-03-19,Middlesex London
2020-03-20,Middlesex London
2020-01-25,NotAvailable
2020-01-26,NotAvailable
2020-01-27,NotAvailable
2020-01-28,NotAvailable
2020-01-29,NotAvailable
2020-01-30,NotAvailable
2020-01-31,NotAvailable
2020-02-01,NotAvailable
2020-02-02,NotAvailable
2020-02-03,NotAvailable
2020-02-04,NotAvailable
2020-02-05,NotAvailable
2020-02-06,NotAvailable
2020-02-07,NotAvailable
2020-02-08,NotAvailable
2020-02-09,NotAvailable
2020-02-10,NotAvailable
2020-02-11,NotAvailable
2020-02-12,NotAvailable
2020-02-13,NotAvailable
2020-02-14,NotAvailable
2020-02-15,NotAvailable
2020-02-16,NotAvailable
2020-02-17,NotAvailable
2020-02-18,NotAvailable
2020-02-19,NotAvailable
2020-02-20,NotAvailable
2020-02-21,NotAvailable
2020-02-22,NotAvailable
2020-02-23,NotAvailable
2020-02-24,NotAvailable
2020-02-25,NotAvailable
2020-02-26,NotAvailable
2020-02-27,NotAvailable
2020-02-28,NotAvailable
2020-02-29,NotAvailable
2020-03-01,NotAvailable
2020-03-02,NotAvailable
2020-03-03,NotAvailable
2020-03-04,NotAvailable
2020-03-05,NotAvailable
2020-03-06,NotAvailable
2020-03-07,NotAvailable
2020-03-08,NotAvailable
2020-03-09,NotAvailable
2020-03-10,NotAvailable
2020-03-11,NotAvailable
2020-03-12,NotAvailable
2020-03-13,NotAvailable
2020-03-14,NotAvailable
2020-03-15,NotAvailable
2020-03-16,NotAvailable
2020-03-17,NotAvailable
2020-03-18,NotAvailable
2020-03-19,NotAvailable
2020-03-20,NotAvailable
2020-01-25,York
2020-01-26,York
2020-01-27,York
2020-01-28,York
2020-01-29,York
2020-01-30,York
2020-01-31,York
2020-02-01,York
2020-02-02,York
2020-02-03,York
2020-02-04,York
2020-02-05,York
2020-02-06,York
2020-02-07,York
2020-02-08,York
2020-02-09,York
2020-02-10,York
2020-02-11,York
2020-02-12,York
2020-02-13,York
2020-02-14,York
2020-02-15,York
2020-02-16,York
2020-02-17,York
2020-02-18,York
2020-02-19,York
2020-02-20,York
2020-02-21,York
2020-02-22,York
2020-02-23,York
2020-02-24,York
2020-02-25,York
2020-02-26,York
2020-02-27,York
2020-02-28,York
2020-02-29,York
2020-03-01,York
2020-03-02,York
2020-03-03,York
2020-03-04,York
2020-03-05,York
2020-03-06,York
2020-03-07,York
2020-03-08,York
2020-03-09,York
2020-03-10,York
2020-03-11,York
2020-03-12,York
2020-03-13,York
2020-03-14,York
2020-03-15,York
2020-03-16,York
2020-03-17,York
2020-03-18,York
2020-03-19,York
2020-03-20,York
2020-01-25,Durham
2020-01-26,Durham
2020-01-27,Durham
2020-01-28,Durham
2020-01-29,Durham
2020-01-30,Durham
2020-01-31,Durham
2020-02-01,Durham
2020-02-02,Durham
2020-02-03,Durham
2020-02-04,Durham
2020-02-05,Durham
2020-02-06,Durham
2020-02-07,Durham
2020-02-08,Durham
2020-02-09,Durham
2020-02-10,Durham
2020-02-11,Durham
2020-02-12,Durham
2020-02-13,Durham
2020-02-14,Durham
2020-02-15,Durham
2020-02-16,Durham
2020-02-17,Durham
2020-02-18,Durham
2020-02-19,Durham
2020-02-20,Durham
2020-02-21,Durham
2020-02-22,Durham
2020-02-23,Durham
2020-02-24,Durham
2020-02-25,Durham
2020-02-26,Durham
2020-02-27,Durham
2020-02-28,Durham
2020-02-29,Durham
2020-03-01,Durham
2020-03-02,Durham
2020-03-03,Durham
2020-03-04,Durham
2020-03-05,Durham
2020-03-06,Durham
2020-03-07,Durham
2020-03-08,Durham
2020-03-09,Durham
2020-03-10,Durham
2020-03-11,Durham
2020-03-12,Durham
2020-03-13,Durham
2020-03-14,Durham
2020-03-15,Durham
2020-03-16,Durham
2020-03-17,Durham
2020-03-18,Durham
2020-03-19,Durham
2020-03-20,Durham
2020-01-25,Newmarket
2020-01-26,Newmarket
2020-01-27,Newmarket
2020-01-28,Newmarket
2020-01-29,Newmarket
2020-01-30,Newmarket
2020-01-31,Newmarket
2020-02-01,Newmarket
2020-02-02,Newmarket
2020-02-03,Newmarket
2020-02-04,Newmarket
2020-02-05,Newmarket
2020-02-06,Newmarket
2020-02-07,Newmarket
2020-02-08,Newmarket
2020-02-09,Newmarket
2020-02-10,Newmarket
2020-02-11,Newmarket
2020-02-12,Newmarket
2020-02-13,Newmarket
2020-02-14,Newmarket
2020-02-15,Newmarket
2020-02-16,Newmarket
2020-02-17,Newmarket
2020-02-18,Newmarket
2020-02-19,Newmarket
2020-02-20,Newmarket
2020-02-21,Newmarket
2020-02-22,Newmarket
2020-02-23,Newmarket
2020-02-24,Newmarket
2020-02-25,Newmarket
2020-02-26,Newmarket
2020-02-27,Newmarket
2020-02-28,Newmarket
2020-02-29,Newmarket
2020-03-01,Newmarket
2020-03-02,Newmarket
2020-03-03,Newmarket
2020-03-04,Newmarket
2020-03-05,Newmarket
2020-03-06,Newmarket
2020-03-07,Newmarket
2020-03-08,Newmarket
2020-03-09,Newmarket
2020-03-10,Newmarket
2020-03-11,Newmarket
2020-03-12,Newmarket
2020-03-13,Newmarket
2020-03-14,Newmarket
2020-03-15,Newmarket
2020-03-16,Newmarket
2020-03-17,Newmarket
2020-03-18,Newmarket
2020-03-19,Newmarket
2020-03-20,Newmarket
2020-01-25,Waterloo
2020-01-26,Waterloo
2020-01-27,Waterloo
2020-01-28,Waterloo
2020-01-29,Waterloo
2020-01-30,Waterloo
2020-01-31,Waterloo
2020-02-01,Waterloo
2020-02-02,Waterloo
2020-02-03,Waterloo
2020-02-04,Waterloo
2020-02-05,Waterloo
2020-02-06,Waterloo
2020-02-07,Waterloo
2020-02-08,Waterloo
2020-02-09,Waterloo
2020-02-10,Waterloo
2020-02-11,Waterloo
2020-02-12,Waterloo
2020-02-13,Waterloo
2020-02-14,Waterloo
2020-02-15,Waterloo
2020-02-16,Waterloo
2020-02-17,Waterloo
2020-02-18,Waterloo
2020-02-19,Waterloo
2020-02-20,Waterloo
2020-02-21,Waterloo
2020-02-22,Waterloo
2020-02-23,Waterloo
2020-02-24,Waterloo
2020-02-25,Waterloo
2020-02-26,Waterloo
2020-02-27,Waterloo
2020-02-28,Waterloo
2020-02-29,Waterloo
2020-03-01,Waterloo
2020-03-02,Waterloo
2020-03-03,Waterloo
2020-03-04,Waterloo
2020-03-05,Waterloo
2020-03-06,Waterloo
2020-03-07,Waterloo
2020-03-08,Waterloo
2020-03-09,Waterloo
2020-03-10,Waterloo
2020-03-11,Waterloo
2020-03-12,Waterloo
2020-03-13,Waterloo
2020-03-14,Waterloo
2020-03-15,Waterloo
2020-03-16,Waterloo
2020-03-17,Waterloo
2020-03-18,Waterloo
2020-03-19,Waterloo
2020-03-20,Waterloo
2020-01-25,Peel
2020-01-26,Peel
2020-01-27,Peel
2020-01-28,Peel
2020-01-29,Peel
2020-01-30,Peel
2020-01-31,Peel
2020-02-01,Peel
2020-02-02,Peel
2020-02-03,Peel
2020-02-04,Peel
2020-02-05,Peel
2020-02-06,Peel
2020-02-07,Peel
2020-02-08,Peel
2020-02-09,Peel
2020-02-10,Peel
2020-02-11,Peel
2020-02-12,Peel
2020-02-13,Peel
2020-02-14,Peel
2020-02-15,Peel
2020-02-16,Peel
2020-02-17,Peel
2020-02-18,Peel
2020-02-19,Peel
2020-02-20,Peel
2020-02-21,Peel
2020-02-22,Peel
2020-02-23,Peel
2020-02-24,Peel
2020-02-25,Peel
2020-02-26,Peel
2020-02-27,Peel
2020-02-28,Peel
2020-02-29,Peel
2020-03-01,Peel
2020-03-02,Peel
2020-03-03,Peel
2020-03-04,Peel
2020-03-05,Peel
2020-03-06,Peel
2020-03-07,Peel
2020-03-08,Peel
2020-03-09,Peel
2020-03-10,Peel
2020-03-11,Peel
2020-03-12,Peel
2020-03-13,Peel
2020-03-14,Peel
2020-03-15,Peel
2020-03-16,Peel
2020-03-17,Peel
2020-03-18,Peel
2020-03-19,Peel
2020-03-20,Peel
2020-01-25,RichmondHill
2020-01-26,RichmondHill
2020-01-27,RichmondHill
2020-01-28,RichmondHill
2020-01-29,RichmondHill
2020-01-30,RichmondHill
2020-01-31,RichmondHill
2020-02-01,RichmondHill
2020-02-02,RichmondHill
2020-02-03,RichmondHill
2020-02-04,RichmondHill
2020-02-05,RichmondHill
2020-02-06,RichmondHill
2020-02-07,RichmondHill
2020-02-08,RichmondHill
2020-02-09,RichmondHill
2020-02-10,RichmondHill
2020-02-11,RichmondHill
2020-02-12,RichmondHill
2020-02-13,RichmondHill
2020-02-14,RichmondHill
2020-02-15,RichmondHill
2020-02-16,RichmondHill
2020-02-17,RichmondHill
2020-02-18,RichmondHill
2020-02-19,RichmondHill
2020-02-20,RichmondHill
2020-02-21,RichmondHill
2020-02-22,RichmondHill
2020-02-23,RichmondHill
2020-02-24,RichmondHill
2020-02-25,RichmondHill
2020-02-26,RichmondHill
2020-02-27,RichmondHill
2020-02-28,RichmondHill
2020-02-29,RichmondHill
2020-03-01,RichmondHill
2020-03-02,RichmondHill
2020-03-03,RichmondHill
2020-03-04,RichmondHill
2020-03-05,RichmondHill
2020-03-06,RichmondHill
2020-03-07,RichmondHill
2020-03-08,RichmondHill
2020-03-09,RichmondHill
2020-03-10,RichmondHill
2020-03-11,RichmondHill
2020-03-12,RichmondHill
2020-03-13,RichmondHill
2020-03-14,RichmondHill
2020-03-15,RichmondHill
2020-03-16,RichmondHill
2020-03-17,RichmondHill
2020-03-18,RichmondHill
2020-03-19,RichmondHill
2020-03-20,RichmondHill
2020-01-25,Sudbury and District
2020-01-26,Sudbury and District
2020-01-27,Sudbury and District
2020-01-28,Sudbury and District
2020-01-29,Sudbury and District
2020-01-30,Sudbury and District
2020-01-31,Sudbury and District
2020-02-01,Sudbury and District
2020-02-02,Sudbury and District
2020-02-03,Sudbury and District
2020-02-04,Sudbury and District
2020-02-05,Sudbury and District
2020-02-06,Sudbury and District
2020-02-07,Sudbury and District
2020-02-08,Sudbury and District
2020-02-09,Sudbury and District
2020-02-10,Sudbury and District
2020-02-11,Sudbury and District
2020-02-12,Sudbury and District
2020-02-13,Sudbury and District
2020-02-14,Sudbury and District
2020-02-15,Sudbury and District
2020-02-16,Sudbury and District
2020-02-17,Sudbury and District
2020-02-18,Sudbury and District
2020-02-19,Sudbury and District
2020-02-20,Sudbury and District
2020-02-21,Sudbury and District
2020-02-22,Sudbury and District
2020-02-23,Sudbury and District
2020-02-24,Sudbury and District
2020-02-25,Sudbury and District
2020-02-26,Sudbury and District
2020-02-27,Sudbury and District
2020-02-28,Sudbury and District
2020-02-29,Sudbury and District
2020-03-01,Sudbury and District
2020-03-02,Sudbury and District
2020-03-03,Sudbury and District
2020-03-04,Sudbury and District
2020-03-05,Sudbury and District
2020-03-06,Sudbury and District
2020-03-07,Sudbury and District
2020-03-08,Sudbury and District
2020-03-09,Sudbury and District
2020-03-10,Sudbury and District
2020-03-11,Sudbury and District
2020-03-12,Sudbury and District
2020-03-13,Sudbury and District
2020-03-14,Sudbury and District
2020-03-15,Sudbury and District
2020-03-16,Sudbury and District
2020-03-17,Sudbury and District
2020-03-18,Sudbury and District
2020-03-19,Sudbury and District
2020-03-20,Sudbury and District
2020-01-25,Ottawa
2020-01-26,Ottawa
2020-01-27,Ottawa
2020-01-28,Ottawa
2020-01-29,Ottawa
2020-01-30,Ottawa
2020-01-31,Ottawa
2020-02-01,Ottawa
2020-02-02,Ottawa
2020-02-03,Ottawa
2020-02-04,Ottawa
2020-02-05,Ottawa
2020-02-06,Ottawa
2020-02-07,Ottawa
2020-02-08,Ottawa
2020-02-09,Ottawa
2020-02-10,Ottawa
2020-02-11,Ottawa
2020-02-12,Ottawa
2020-02-13,Ottawa
2020-02-14,Ottawa
2020-02-15,Ottawa
2020-02-16,Ottawa
2020-02-17,Ottawa
2020-02-18,Ottawa
2020-02-19,Ottawa
2020-02-20,Ottawa
2020-02-21,Ottawa
2020-02-22,Ottawa
2020-02-23,Ottawa
2020-02-24,Ottawa
2020-02-25,Ottawa
2020-02-26,Ottawa
2020-02-27,Ottawa
2020-02-28,Ottawa
2020-02-29,Ottawa
2020-03-01,Ottawa
2020-03-02,Ottawa
2020-03-03,Ottawa
2020-03-04,Ottawa
2020-03-05,Ottawa
2020-03-06,Ottawa
2020-03-07,Ottawa
2020-03-08,Ottawa
2020-03-09,Ottawa
2020-03-10,Ottawa
2020-03-11,Ottawa
2020-03-12,Ottawa
2020-03-13,Ottawa
2020-03-14,Ottawa
2020-03-15,Ottawa
2020-03-16,Ottawa
2020-03-17,Ottawa
2020-03-18,Ottawa
2020-03-19,Ottawa
2020-03-20,Ottawa
2020-01-25,Halton
2020-01-26,Halton
2020-01-27,Halton
2020-01-28,Halton
2020-01-29,Halton
2020-01-30,Halton
2020-01-31,Halton
2020-02-01,Halton
2020-02-02,Halton
2020-02-03,Halton
2020-02-04,Halton
2020-02-05,Halton
2020-02-06,Halton
2020-02-07,Halton
2020-02-08,Halton
2020-02-09,Halton
2020-02-10,Halton
2020-02-11,Halton
2020-02-12,Halton
2020-02-13,Halton
2020-02-14,Halton
2020-02-15,Halton
2020-02-16,Halton
2020-02-17,Halton
2020-02-18,Halton
2020-02-19,Halton
2020-02-20,Halton
2020-02-21,Halton
2020-02-22,Halton
2020-02-23,Halton
2020-02-24,Halton
2020-02-25,Halton
2020-02-26,Halton
2020-02-27,Halton
2020-02-28,Halton
2020-02-29,Halton
2020-03-01,Halton
2020-03-02,Halton
2020-03-03,Halton
2020-03-04,Halton
2020-03-05,Halton
2020-03-06,Halton
2020-03-07,Halton
2020-03-08,Halton
2020-03-09,Halton
2020-03-10,Halton
2020-03-11,Halton
2020-03-12,Halton
2020-03-13,Halton
2020-03-14,Halton
2020-03-15,Halton
2020-03-16,Halton
2020-03-17,Halton
2020-03-18,Halton
2020-03-19,Halton
2020-03-20,Halton
2020-01-25,Hamilton
2020-01-26,Hamilton
2020-01-27,Hamilton
2020-01-28,Hamilton
2020-01-29,Hamilton
2020-01-30,Hamilton
2020-01-31,Hamilton
2020-02-01,Hamilton
2020-02-02,Hamilton
2020-02-03,Hamilton
2020-02-04,Hamilton
2020-02-05,Hamilton
2020-02-06,Hamilton
2020-02-07,Hamilton
2020-02-08,Hamilton
2020-02-09,Hamilton
2020-02-10,Hamilton
2020-02-11,Hamilton
2020-02-12,Hamilton
2020-02-13,Hamilton
2020-02-14,Hamilton
2020-02-15,Hamilton
2020-02-16,Hamilton
2020-02-17,Hamilton
2020-02-18,Hamilton
2020-02-19,Hamilton
2020-02-20,Hamilton
2020-02-21,Hamilton
2020-02-22,Hamilton
2020-02-23,Hamilton
2020-02-24,Hamilton
2020-02-25,Hamilton
2020-02-26,Hamilton
2020-02-27,Hamilton
2020-02-28,Hamilton
2020-02-29,Hamilton
2020-03-01,Hamilton
2020-03-02,Hamilton
2020-03-03,Hamilton
2020-03-04,Hamilton
2020-03-05,Hamilton
2020-03-06,Hamilton
2020-03-07,Hamilton
2020-03-08,Hamilton
2020-03-09,Hamilton
2020-03-10,Hamilton
2020-03-11,Hamilton
2020-03-12,Hamilton
2020-03-13,Hamilton
2020-03-14,Hamilton
2020-03-15,Hamilton
2020-03-16,Hamilton
2020-03-17,Hamilton
2020-03-18,Hamilton
2020-03-19,Hamilton
2020-03-20,Hamilton
2020-01-25,Simcoe Muskoka
2020-01-26,Simcoe Muskoka
2020-01-27,Simcoe Muskoka
2020-01-28,Simcoe Muskoka
2020-01-29,Simcoe Muskoka
2020-01-30,Simcoe Muskoka
2020-01-31,Simcoe Muskoka
2020-02-01,Simcoe Muskoka
2020-02-02,Simcoe Muskoka
2020-02-03,Simcoe Muskoka
2020-02-04,Simcoe Muskoka
2020-02-05,Simcoe Muskoka
2020-02-06,Simcoe Muskoka
2020-02-07,Simcoe Muskoka
2020-02-08,Simcoe Muskoka
2020-02-09,Simcoe Muskoka
2020-02-10,Simcoe Muskoka
2020-02-11,Simcoe Muskoka
2020-02-12,Simcoe Muskoka
2020-02-13,Simcoe Muskoka
2020-02-14,Simcoe Muskoka
2020-02-15,Simcoe Muskoka
2020-02-16,Simcoe Muskoka
2020-02-17,Simcoe Muskoka
2020-02-18,Simcoe Muskoka
2020-02-19,Simcoe Muskoka
2020-02-20,Simcoe Muskoka
2020-02-21,Simcoe Muskoka
2020-02-22,Simcoe Muskoka
2020-02-23,Simcoe Muskoka
2020-02-24,Simcoe Muskoka
2020-02-25,Simcoe Muskoka
2020-02-26,Simcoe Muskoka
2020-02-27,Simcoe Muskoka
2020-02-28,Simcoe Muskoka
2020-02-29,Simcoe Muskoka
2020-03-01,Simcoe Muskoka
2020-03-02,Simcoe Muskoka
2020-03-03,Simcoe Muskoka
2020-03-04,Simcoe Muskoka
2020-03-05,Simcoe Muskoka
2020-03-06,Simcoe Muskoka
2020-03-07,Simcoe Muskoka
2020-03-08,Simcoe Muskoka
2020-03-09,Simcoe Muskoka
2020-03-10,Simcoe Muskoka
2020-03-11,Simcoe Muskoka
2020-03-12,Simcoe Muskoka
2020-03-13,Simcoe Muskoka
2020-03-14,Simcoe Muskoka
2020-03-15,Simcoe Muskoka
2020-03-16,Simcoe Muskoka
2020-03-17,Simcoe Muskoka
2020-03-18,Simcoe Muskoka
2020-03-19,Simcoe Muskoka
2020-03-20,Simcoe Muskoka
2020-01-25,Niagara
2020-01-26,Niagara
2020-01-27,Niagara
2020-01-28,Niagara
2020-01-29,Niagara
2020-01-30,Niagara
2020-01-31,Niagara
2020-02-01,Niagara
2020-02-02,Niagara
2020-02-03,Niagara
2020-02-04,Niagara
2020-02-05,Niagara
2020-02-06,Niagara
2020-02-07,Niagara
2020-02-08,Niagara
2020-02-09,Niagara
2020-02-10,Niagara
2020-02-11,Niagara
2020-02-12,Niagara
2020-02-13,Niagara
2020-02-14,Niagara
2020-02-15,Niagara
2020-02-16,Niagara
2020-02-17,Niagara
2020-02-18,Niagara
2020-02-19,Niagara
2020-02-20,Niagara
2020-02-21,Niagara
2020-02-22,Niagara
2020-02-23,Niagara
2020-02-24,Niagara
2020-02-25,Niagara
2020-02-26,Niagara
2020-02-27,Niagara
2020-02-28,Niagara
2020-02-29,Niagara
2020-03-01,Niagara
2020-03-02,Niagara
2020-03-03,Niagara
2020-03-04,Niagara
2020-03-05,Niagara
2020-03-06,Niagara
2020-03-07,Niagara
2020-03-08,Niagara
2020-03-09,Niagara
2020-03-10,Niagara
2020-03-11,Niagara
2020-03-12,Niagara
2020-03-13,Niagara
2020-03-14,Niagara
2020-03-15,Niagara
2020-03-16,Niagara
2020-03-17,Niagara
2020-03-18,Niagara
2020-03-19,Niagara
2020-03-20,Niagara
2020-01-25,"Haliburton,Kawartha,Pine Ridge"
2020-01-26,"Haliburton,Kawartha,Pine Ridge"
2020-01-27,"Haliburton,Kawartha,Pine Ridge"
2020-01-28,"Haliburton,Kawartha,Pine Ridge"
2020-01-29,"Haliburton,Kawartha,Pine Ridge"
2020-01-30,"Haliburton,Kawartha,Pine Ridge"
2020-01-31,"Haliburton,Kawartha,Pine Ridge"
2020-02-01,"Haliburton,Kawartha,Pine Ridge"
2020-02-02,"Haliburton,Kawartha,Pine Ridge"
2020-02-03,"Haliburton,Kawartha,Pine Ridge"
2020-02-04,"Haliburton,Kawartha,Pine Ridge"
2020-02-05,"Haliburton,Kawartha,Pine Ridge"
2020-02-06,"Haliburton,Kawartha,Pine Ridge"
2020-02-07,"Haliburton,Kawartha,Pine Ridge"
2020-02-08,"Haliburton,Kawartha,Pine Ridge"
2020-02-09,"Haliburton,Kawartha,Pine Ridge"
2020-02-10,"Haliburton,Kawartha,Pine Ridge"
2020-02-11,"Haliburton,Kawartha,Pine Ridge"
2020-02-12,"Haliburton,Kawartha,Pine Ridge"
2020-02-13,"Haliburton,Kawartha,Pine Ridge"
2020-02-14,"Haliburton,Kawartha,Pine Ridge"
2020-02-15,"Haliburton,Kawartha,Pine Ridge"
2020-02-16,"Haliburton,Kawartha,Pine Ridge"
2020-02-17,"Haliburton,Kawartha,Pine Ridge"
2020-02-18,"Haliburton,Kawartha,Pine Ridge"
2020-02-19,"Haliburton,Kawartha,Pine Ridge"
2020-02-20,"Haliburton,Kawartha,Pine Ridge"
2020-02-21,"Haliburton,Kawartha,Pine Ridge"
2020-02-22,"Haliburton,Kawartha,Pine Ridge"
2020-02-23,"Haliburton,Kawartha,Pine Ridge"
2020-02-24,"Haliburton,Kawartha,Pine Ridge"
2020-02-25,"Haliburton,Kawartha,Pine Ridge"
2020-02-26,"Haliburton,Kawartha,Pine Ridge"
2020-02-27,"Haliburton,Kawartha,Pine Ridge"
2020-02-28,"Haliburton,Kawartha,Pine Ridge"
2020-02-29,"Haliburton,Kawartha,Pine Ridge"
2020-03-01,"Haliburton,Kawartha,Pine Ridge"
2020-03-02,"Haliburton,Kawartha,Pine Ridge"
2020-03-03,"Haliburton,Kawartha,Pine Ridge"
2020-03-04,"Haliburton,Kawartha,Pine Ridge"
2020-03-05,"Haliburton,Kawartha,Pine Ridge"
2020-03-06,"Haliburton,Kawartha,Pine Ridge"
2020-03-07,"Haliburton,Kawartha,Pine Ridge"
2020-03-08,"Haliburton,Kawartha,Pine Ridge"
2020-03-09,"Haliburton,Kawartha,Pine Ridge"
2020-03-10,"Haliburton,Kawartha,Pine Ridge"
2020-03-11,"Haliburton,Kawartha,Pine Ridge"
2020-03-12,"Haliburton,Kawartha,Pine Ridge"
2020-03-13,"Haliburton,Kawartha,Pine Ridge"
